pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,pDayofWeek,pYear,pMonth,pHour,avg_speed,pdate,holiday,weekend
-78.50392182367891,-0.23282413398566898,-78.5494469183617,-0.36136260289922206,2025.0,24228.0,346.0,5.0,2016.0,9.0,9.0,43.0,2016-09-17,0,1
-78.4403055941133,0.00678890239107939,-78.49078607175841,-0.10483639786856801,1390.0,16680.0,456.0,6.0,2016.0,9.0,4.0,43.0,2016-09-18,0,1
-78.55807603300251,-0.27824090601628804,-78.43021970000001,-0.20193430000002,1933.0,25146.0,302.0,6.0,2016.0,9.0,5.0,47.0,2016-09-18,0,1
-78.5218184477354,-0.208480262252758,-78.5045576893491,-0.222462426627215,948.0,4625.0,314.0,6.0,2016.0,9.0,7.0,18.0,2016-09-18,0,1
-78.5092018860813,-0.19483861659424695,-78.518763576,-0.22879432800001998,1510.0,5820.0,630.0,5.0,2016.0,8.0,4.0,14.0,2016-08-27,0,1
-78.48154211542409,-0.154316770287249,-78.518420178,-0.191547490000018,1341.0,7593.0,510.0,6.0,2016.0,9.0,10.0,20.0,2016-09-18,0,1
-78.529779765498,-0.249148595075661,-78.3610775258975,-0.12462688124360301,2821.0,46418.0,302.0,6.0,2016.0,9.0,11.0,59.0,2016-09-18,0,1
-78.36107925931249,-0.12464448984572198,-78.39273471507829,-0.0894069686617181,1100.0,8150.0,390.0,6.0,2016.0,9.0,11.0,27.0,2016-09-18,0,1
-78.49712177252741,-0.20037569489001103,-78.4997571886792,-0.207292753066043,109.0,827.0,29.0,6.0,2016.0,9.0,12.0,27.0,2016-09-18,0,1
-78.4997700861713,-0.20732433081804502,-78.50676551462259,-0.22603662287737197,495.0,2549.0,129.0,6.0,2016.0,9.0,12.0,19.0,2016-09-18,0,1
-78.51102214094492,-0.239902675485559,-78.5096279676312,-0.238126488445828,72784.0,251.0,2418.0,5.0,2016.0,9.0,4.0,0.0,2016-09-17,0,1
-78.4653691652881,-0.158640334423945,-78.4865753319747,-0.166789954991163,2045.0,3745.0,853.0,6.0,2016.0,9.0,1.0,7.0,2016-09-18,0,1
-78.484125488,-0.153283936000013,-78.482142274,-0.0966767159999997,1439.0,8883.0,612.0,6.0,2016.0,9.0,1.0,22.0,2016-09-18,0,1
-78.49284002020549,-0.17161687568493803,-78.4853502114285,-0.19577735714286398,2284.0,3513.0,65.0,6.0,2016.0,9.0,1.0,6.0,2016-09-18,0,1
